Cell:,OA333x1_ASAP7_75t_R,Width:,30,HPWL:,124.00
Name,X,Y,Orient,Row,Flipped
MM3,0.000,1.0,MX,PMOS,False
MM14,0.162,1.0,MX,PMOS,False
MM2,0.324,1.0,MX,PMOS,False
MM13,0.486,1.0,MX,PMOS,False
MM10,0.648,1.0,MX_R180,PMOS,True
MM17,0.810,1.0,MX,PMOS,False
MM16,0.972,1.0,MX,PMOS,False
MM15,0.000,0.0,R0,NMOS,False
MM11,1.134,1.0,MX_R180,PMOS,True
MM0,0.162,0.0,MY,NMOS,True
MM12,1.296,1.0,MX_R180,PMOS,True
MM6,0.324,0.0,R0,NMOS,False
MM19,1.458,1.0,MX_R180,PMOS,True
MM18,0.486,0.0,MY,NMOS,True
MM1,0.648,0.0,R0,NMOS,False
MM5,0.810,0.0,MY,NMOS,True
MM4,0.972,0.0,MY,NMOS,True
MM7,1.134,0.0,R0,NMOS,False
MM8,1.296,0.0,R0,NMOS,False
MM9,1.458,0.0,R0,NMOS,False
