Cell:,OAI333xp33_ASAP7_75t_R,Width:,27,HPWL:,95.00
Name,X,Y,Orient,Row,Flipped
MM3,0.000,1.0,MX,PMOS,False
MM2,0.162,1.0,MX,PMOS,False
MM14,0.324,1.0,MX,PMOS,False
MM16,0.486,1.0,MX_R180,PMOS,True
MM13,0.648,1.0,MX_R180,PMOS,True
MM10,0.810,1.0,MX_R180,PMOS,True
MM11,0.972,1.0,MX_R180,PMOS,True
MM17,1.134,1.0,MX,PMOS,False
MM15,0.000,0.0,R0,NMOS,False
MM12,1.296,1.0,MX_R180,PMOS,True
MM4,0.162,0.0,R0,NMOS,False
MM0,0.324,0.0,R0,NMOS,False
MM1,0.486,0.0,R0,NMOS,False
MM5,0.648,0.0,MY,NMOS,True
MM6,0.810,0.0,R0,NMOS,False
MM7,0.972,0.0,R0,NMOS,False
MM9,1.134,0.0,R0,NMOS,False
MM8,1.296,0.0,MY,NMOS,True
