Cell:,DFFHQx4_ASAP7_75t_R,Width:,35,HPWL:,80.00
Name,X,Y,Orient,Row,Flipped
MM8,0.000,0.0,R0,NMOS,False
MM23,0.054,0.0,MY,NMOS,True
MM11,0.000,1.0,MX_R180,PMOS,True
MM19,0.054,1.0,MX,PMOS,False
MM10,0.108,1.0,MX_R180,PMOS,True
MM22,0.162,1.0,MX,PMOS,False
MM6,0.162,0.0,R0,NMOS,False
MM21,0.270,1.0,MX_R180,PMOS,True
MM9,0.216,0.0,MY,NMOS,True
MM20,0.270,0.0,MY,NMOS,True
MM13,0.378,1.0,MX,PMOS,False
MM18,0.432,1.0,MX,PMOS,False
MM7,0.486,1.0,MX_R180,PMOS,True
MM16,0.378,0.0,MY,NMOS,True
MM1,0.540,1.0,MX,PMOS,False
MM17,0.432,0.0,MY,NMOS,True
MM12,0.486,0.0,MY,NMOS,True
MM4,0.540,0.0,R0,NMOS,False
MM15,0.702,1.0,MX_R180,PMOS,True
MM14,0.702,0.0,MY,NMOS,True
MM3,0.756,1.0,MX,PMOS,False
MM5,0.756,0.0,MY,NMOS,True
MM25,0.918,1.0,MX,PMOS,False
MM24,0.918,0.0,R0,NMOS,False
MM37,1.242,1.0,MX,PMOS,False
MM38,1.242,0.0,MY,NMOS,True
