Cell:,DFFLQx4_ASAP7_75t_R,Width:,35,HPWL:,79.00
Name,X,Y,Orient,Row,Flipped
MM11,0.000,1.0,MX,PMOS,False
MM20,0.000,0.0,R0,NMOS,False
MM23,0.108,0.0,R0,NMOS,False
MM10,0.054,1.0,MX_R180,PMOS,True
MM6,0.216,0.0,R0,NMOS,False
MM22,0.108,1.0,MX,PMOS,False
MM16,0.270,0.0,R0,NMOS,False
MM12,0.324,0.0,MY,NMOS,True
MM21,0.216,1.0,MX_R180,PMOS,True
MM7,0.324,1.0,MX_R180,PMOS,True
MM19,0.378,1.0,MX_R180,PMOS,True
MM8,0.378,0.0,R0,NMOS,False
MM17,0.432,0.0,R0,NMOS,False
MM13,0.432,1.0,MX,PMOS,False
MM9,0.486,0.0,R0,NMOS,False
MM4,0.540,0.0,R0,NMOS,False
MM14,0.702,0.0,MY,NMOS,True
MM18,0.486,1.0,MX,PMOS,False
MM15,0.540,1.0,MX_R180,PMOS,True
MM1,0.594,1.0,MX,PMOS,False
MM3,0.756,1.0,MX_R180,PMOS,True
MM5,0.756,0.0,MY,NMOS,True
MM25,0.918,1.0,MX_R180,PMOS,True
MM24,0.918,0.0,MY,NMOS,True
MM2,1.242,1.0,MX_R180,PMOS,True
MM0,1.242,0.0,R0,NMOS,False
