Cell:,SDFHx4_ASAP7_75t_R,Width:,57,HPWL:,199.00
Name,X,Y,Orient,Row,Flipped
MM22,0.000,1.0,MX,PMOS,False
MM1,0.162,1.0,MX_R180,PMOS,True
MM10,0.324,1.0,MX_R180,PMOS,True
MM6,0.000,0.0,MY,NMOS,True
MM3,0.486,1.0,MX_R180,PMOS,True
MM23,0.162,0.0,MY,NMOS,True
MM11,0.648,1.0,MX,PMOS,False
MM2,0.810,1.0,MX,PMOS,False
MM21,0.972,1.0,MX,PMOS,False
MM26,1.134,1.0,MX,PMOS,False
MM7,1.296,1.0,MX,PMOS,False
MM20,0.324,0.0,R0,NMOS,False
MM4,0.486,0.0,R0,NMOS,False
MM9,0.648,0.0,MY,NMOS,True
MM8,0.810,0.0,MY,NMOS,True
MM0,1.458,1.0,MX,PMOS,False
MM5,0.972,0.0,MY,NMOS,True
MM13,1.620,1.0,MX_R180,PMOS,True
MM12,1.134,0.0,MY,NMOS,True
MM31,1.782,1.0,MX,PMOS,False
MM19,1.944,1.0,MX,PMOS,False
MM27,1.296,0.0,MY,NMOS,True
MM16,1.458,0.0,R0,NMOS,False
MM30,1.620,0.0,R0,NMOS,False
MM18,2.106,1.0,MX,PMOS,False
MM17,1.782,0.0,MY,NMOS,True
MM29,1.944,0.0,R0,NMOS,False
MM28,2.106,0.0,MY,NMOS,True
MM15,2.268,1.0,MX,PMOS,False
MM14,2.268,0.0,R0,NMOS,False
MM25,2.430,1.0,MX,PMOS,False
MM24,2.430,0.0,R0,NMOS,False
