Cell:,SDFLx2_ASAP7_75t_R,Width:,35,HPWL:,134.00
Name,X,Y,Orient,Row,Flipped
MM19,0.000,1.0,MX,PMOS,False
MM8,0.000,0.0,MY,NMOS,True
MM20,0.054,0.0,R0,NMOS,False
MM10,0.054,1.0,MX,PMOS,False
MM11,0.108,1.0,MX,PMOS,False
MM7,0.162,1.0,MX,PMOS,False
MM6,0.162,0.0,R0,NMOS,False
MM17,0.216,0.0,R0,NMOS,False
MM16,0.270,0.0,MY,NMOS,True
MM12,0.324,0.0,MY,NMOS,True
MM9,0.378,0.0,MY,NMOS,True
MM13,0.216,1.0,MX_R180,PMOS,True
MM23,0.432,0.0,R0,NMOS,False
MM18,0.270,1.0,MX_R180,PMOS,True
MM21,0.324,1.0,MX,PMOS,False
MM14,0.540,0.0,R0,NMOS,False
MM22,0.432,1.0,MX,PMOS,False
MM15,0.540,1.0,MX,PMOS,False
MM25,0.594,1.0,MX,PMOS,False
MM24,0.594,0.0,MY,NMOS,True
MM1,0.918,1.0,MX,PMOS,False
MM4,0.918,0.0,R0,NMOS,False
MM3,1.080,1.0,MX_R180,PMOS,True
MM0,1.080,0.0,MY,NMOS,True
MM30,1.242,1.0,MX_R180,PMOS,True
MM31,1.404,1.0,MX_R180,PMOS,True
MM27,1.566,1.0,MX_R180,PMOS,True
MM5,1.242,0.0,MY,NMOS,True
MM29,1.404,0.0,MY,NMOS,True
MM2,1.728,1.0,MX,PMOS,False
MM32,1.566,0.0,R0,NMOS,False
MM26,1.728,0.0,R0,NMOS,False
