Cell:,DLLx2_ASAP7_75t_R,Width:,19,HPWL:,52.00
Name,X,Y,Orient,Row,Flipped
MM5,0.000,0.0,MY,NMOS,True
MM24,0.162,0.0,MY,NMOS,True
MM25,0.000,1.0,MX,PMOS,False
MM3,0.324,1.0,MX,PMOS,False
MM4,0.486,0.0,MY,NMOS,True
MM1,0.486,1.0,MX_R180,PMOS,True
MM21,0.648,1.0,MX_R180,PMOS,True
MM20,0.648,0.0,MY,NMOS,True
MM7,0.756,1.0,MX,PMOS,False
MM6,0.756,0.0,R0,NMOS,False
MM9,0.810,0.0,R0,NMOS,False
MM23,0.864,0.0,MY,NMOS,True
MM10,0.810,1.0,MX_R180,PMOS,True
MM22,0.864,1.0,MX_R180,PMOS,True
MM8,0.972,0.0,R0,NMOS,False
MM11,0.972,1.0,MX,PMOS,False
