Cell:,OA333x2_ASAP7_75t_R,Width:,33,HPWL:,79.00
Name,X,Y,Orient,Row,Flipped
MM18,0.000,0.0,R0,NMOS,False
MM19,0.000,1.0,MX_R180,PMOS,True
MM14,0.324,1.0,MX_R180,PMOS,True
MM2,0.486,1.0,MX,PMOS,False
MM3,0.648,1.0,MX_R180,PMOS,True
MM17,0.810,1.0,MX_R180,PMOS,True
MM12,0.972,1.0,MX_R180,PMOS,True
MM16,1.134,1.0,MX,PMOS,False
MM13,1.296,1.0,MX,PMOS,False
MM11,1.458,1.0,MX_R180,PMOS,True
MM10,1.620,1.0,MX_R180,PMOS,True
MM0,0.324,0.0,R0,NMOS,False
MM15,0.486,0.0,MY,NMOS,True
MM1,0.648,0.0,R0,NMOS,False
MM5,0.810,0.0,MY,NMOS,True
MM6,0.972,0.0,R0,NMOS,False
MM4,1.134,0.0,MY,NMOS,True
MM8,1.296,0.0,R0,NMOS,False
MM7,1.458,0.0,R0,NMOS,False
MM9,1.620,0.0,MY,NMOS,True
