Cell:,AO331x1_ASAP7_75t_R,Width:,24,HPWL:,82.00
Name,X,Y,Orient,Row,Flipped
MM25,0.000,1.0,MX_R180,PMOS,True
MM24,0.162,1.0,MX,PMOS,False
MM20,0.324,1.0,MX_R180,PMOS,True
MM26,0.486,1.0,MX,PMOS,False
MM23,0.648,1.0,MX,PMOS,False
MM21,0.810,1.0,MX_R180,PMOS,True
MM27,0.972,1.0,MX,PMOS,False
MM22,0.000,0.0,R0,NMOS,False
MM15,0.162,0.0,MY,NMOS,True
MM14,0.324,0.0,R0,NMOS,False
MM16,0.486,0.0,MY,NMOS,True
MM19,0.648,0.0,R0,NMOS,False
MM17,0.810,0.0,MY,NMOS,True
MM1,0.972,0.0,MY,NMOS,True
MM0,1.134,1.0,MX,PMOS,False
MM18,1.134,0.0,R0,NMOS,False
