Cell:,ASYNC_DFFHx1_ASAP7_75t_R,Width:,31,HPWL:,137.00
Name,X,Y,Orient,Row,Flipped
MM49,0.000,1.0,MX_R180,PMOS,True
MM47,0.000,0.0,MY,NMOS,True
MM48,0.108,0.0,R0,NMOS,False
MM45,0.054,1.0,MX,PMOS,False
MM29,0.216,0.0,R0,NMOS,False
MM11,0.162,1.0,MX,PMOS,False
MM44,0.270,0.0,MY,NMOS,True
MM42,0.216,1.0,MX_R180,PMOS,True
MM37,0.324,1.0,MX,PMOS,False
MM28,0.432,1.0,MX_R180,PMOS,True
MM33,0.324,0.0,MY,NMOS,True
MM13,0.540,1.0,MX_R180,PMOS,True
MM7,0.594,1.0,MX_R180,PMOS,True
MM46,0.702,1.0,MX,PMOS,False
MM6,0.378,0.0,MY,NMOS,True
MM8,0.432,0.0,MY,NMOS,True
MM10,0.810,1.0,MX,PMOS,False
MM34,0.540,0.0,R0,NMOS,False
MM43,0.648,0.0,MY,NMOS,True
MM35,0.864,1.0,MX,PMOS,False
MM12,0.756,0.0,R0,NMOS,False
MM23,0.810,0.0,R0,NMOS,False
MM22,0.972,1.0,MX_R180,PMOS,True
MM9,0.918,0.0,MY,NMOS,True
MM24,1.026,0.0,MY,NMOS,True
MM25,1.080,1.0,MX,PMOS,False
MM20,1.188,0.0,MY,NMOS,True
MM4,1.296,0.0,R0,NMOS,False
MM21,1.242,1.0,MX_R180,PMOS,True
MM1,1.350,1.0,MX,PMOS,False
MM5,1.458,0.0,MY,NMOS,True
MM3,1.512,1.0,MX_R180,PMOS,True
