Cell:,DFFHQx4_ASAP7_75t_R,Width:,35,HPWL:,90.00
Name,X,Y,Orient,Row,Flipped
MM7,0.000,1.0,MX_R180,PMOS,True
MM23,0.000,0.0,R0,NMOS,False
MM19,0.054,1.0,MX_R180,PMOS,True
MM22,0.108,1.0,MX_R180,PMOS,True
MM13,0.216,1.0,MX,PMOS,False
MM16,0.108,0.0,MY,NMOS,True
MM11,0.270,1.0,MX,PMOS,False
MM18,0.324,1.0,MX_R180,PMOS,True
MM21,0.378,1.0,MX_R180,PMOS,True
MM9,0.162,0.0,R0,NMOS,False
MM17,0.216,0.0,R0,NMOS,False
MM8,0.270,0.0,MY,NMOS,True
MM6,0.324,0.0,MY,NMOS,True
MM10,0.486,1.0,MX,PMOS,False
MM1,0.540,1.0,MX,PMOS,False
MM20,0.378,0.0,MY,NMOS,True
MM14,0.486,0.0,R0,NMOS,False
MM12,0.540,0.0,MY,NMOS,True
MM15,0.702,1.0,MX,PMOS,False
MM4,0.594,0.0,MY,NMOS,True
MM3,0.756,1.0,MX_R180,PMOS,True
MM5,0.756,0.0,R0,NMOS,False
MM25,0.918,1.0,MX,PMOS,False
MM24,0.918,0.0,MY,NMOS,True
MM38,1.242,0.0,MY,NMOS,True
MM37,1.242,1.0,MX,PMOS,False
