Cell:,DHLx1_ASAP7_75t_R,Width:,16,HPWL:,43.00
Name,X,Y,Orient,Row,Flipped
MM11,0.000,1.0,MX_R180,PMOS,True
MM8,0.000,0.0,MY,NMOS,True
MM6,0.054,0.0,R0,NMOS,False
MM9,0.108,0.0,MY,NMOS,True
MM7,0.054,1.0,MX,PMOS,False
MM10,0.108,1.0,MX_R180,PMOS,True
MM13,0.162,1.0,MX,PMOS,False
MM2,0.162,0.0,MY,NMOS,True
MM25,0.270,1.0,MX,PMOS,False
MM12,0.432,1.0,MX_R180,PMOS,True
MM24,0.270,0.0,R0,NMOS,False
MM0,0.432,0.0,R0,NMOS,False
MM4,0.540,0.0,MY,NMOS,True
MM1,0.540,1.0,MX_R180,PMOS,True
MM3,0.702,1.0,MX,PMOS,False
MM5,0.702,0.0,MY,NMOS,True
