Cell:,FAx1_ASAP7_75t_R,Width:,36,HPWL:,145.00
Name,X,Y,Orient,Row,Flipped
MM12,0.000,1.0,MX,PMOS,False
MM2,0.162,1.0,MX,PMOS,False
MM15,0.324,1.0,MX,PMOS,False
MM14,0.486,1.0,MX_R180,PMOS,True
MM23,0.000,0.0,MY,NMOS,True
MM13,0.648,1.0,MX,PMOS,False
MM10,0.162,0.0,R0,NMOS,False
MM0,0.810,1.0,MX_R180,PMOS,True
MM1,0.972,1.0,MX,PMOS,False
MM24,0.324,0.0,MY,NMOS,True
MM16,0.486,0.0,R0,NMOS,False
MM11,0.648,0.0,R0,NMOS,False
MM25,0.810,0.0,MY,NMOS,True
MM8,0.972,0.0,R0,NMOS,False
MM7,1.134,0.0,MY,NMOS,True
MM20,1.134,1.0,MX,PMOS,False
MM9,1.296,0.0,MY,NMOS,True
MM22,1.296,1.0,MX,PMOS,False
MM21,1.458,1.0,MX_R180,PMOS,True
MM5,1.620,1.0,MX,PMOS,False
MM6,1.782,1.0,MX,PMOS,False
MM19,1.458,0.0,R0,NMOS,False
MM17,1.620,0.0,R0,NMOS,False
MM18,1.782,0.0,MY,NMOS,True
