Cell:,SDFLx4_ASAP7_75t_R,Width:,57,HPWL:,145.00
Name,X,Y,Orient,Row,Flipped
MM26,0.000,1.0,MX,PMOS,False
MM0,0.162,1.0,MX,PMOS,False
MM31,0.324,1.0,MX_R180,PMOS,True
MM3,0.486,1.0,MX,PMOS,False
MM2,0.648,1.0,MX,PMOS,False
MM1,0.810,1.0,MX,PMOS,False
MM30,0.000,0.0,MY,NMOS,True
MM27,0.162,0.0,MY,NMOS,True
MM5,0.324,0.0,MY,NMOS,True
MM10,0.972,1.0,MX,PMOS,False
MM4,0.486,0.0,R0,NMOS,False
MM9,0.648,0.0,MY,NMOS,True
MM29,0.810,0.0,R0,NMOS,False
MM28,0.972,0.0,R0,NMOS,False
MM21,1.134,1.0,MX,PMOS,False
MM11,1.296,1.0,MX_R180,PMOS,True
MM6,1.134,0.0,R0,NMOS,False
MM8,1.296,0.0,MY,NMOS,True
MM20,1.458,0.0,MY,NMOS,True
MM22,1.458,1.0,MX_R180,PMOS,True
MM23,1.620,0.0,R0,NMOS,False
MM7,1.620,1.0,MX_R180,PMOS,True
MM19,1.782,1.0,MX,PMOS,False
MM12,1.782,0.0,MY,NMOS,True
MM13,1.944,1.0,MX,PMOS,False
MM16,1.944,0.0,R0,NMOS,False
MM18,2.106,1.0,MX_R180,PMOS,True
MM17,2.106,0.0,R0,NMOS,False
MM15,2.268,1.0,MX,PMOS,False
MM14,2.268,0.0,R0,NMOS,False
MM24,2.430,0.0,MY,NMOS,True
MM25,2.430,1.0,MX,PMOS,False
